fecha_dia,FECHA_HORA_RDF,codigo_estacion,sentido_codigo,Hora_Codigo,Valor_Intensidad
,,,,HOR12,682
01/03/2025,2025-03-01T01:00:00,ES17,Norte,HOR1,1177
,,,,HOR2,931
,,,,HOR3,688
,,,,HOR4,621
,,,,HOR5,580
,,,,HOR6,572
,,,,HOR7,672
,,,,HOR8,1157
,,,,HOR9,1547
,,,,HOR10,1832
,,,,HOR11,2368
,,,,HOR12,2452
01/03/2025,2025-03-01T01:00:00,ES17,Sur,HOR1,2638
,,,,HOR2,2618
,,,,HOR3,1731
,,,,HOR4,1832
,,,,HOR5,2164
,,,,HOR6,2430
,,,,HOR7,2316
,,,,HOR8,2421
,,,,HOR9,2131
,,,,HOR10,1442
,,,,HOR11,1283
,,,,HOR12,1150
01/03/2025,2025-03-01T01:00:00,ES17,Este,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES17,Oeste,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES18,Norte,HOR1,191
,,,,HOR2,170
,,,,HOR3,148
,,,,HOR4,109
,,,,HOR5,86
,,,,HOR6,80
,,,,HOR7,107
,,,,HOR8,197
,,,,HOR9,265
,,,,HOR10,387
,,,,HOR11,402
,,,,HOR12,486
01/03/2025,2025-03-01T01:00:00,ES18,Sur,HOR1,577
,,,,HOR2,465
,,,,HOR3,267
,,,,HOR4,293
,,,,HOR5,381
,,,,HOR6,404
,,,,HOR7,416
,,,,HOR8,588
,,,,HOR9,391
,,,,HOR10,258
,,,,HOR11,240
,,,,HOR12,220
01/03/2025,2025-03-01T01:00:00,ES18,Este,HOR1,406
,,,,HOR2,306
,,,,HOR3,222
,,,,HOR4,198
,,,,HOR5,130
,,,,HOR6,104
,,,,HOR7,55
,,,,HOR8,115
,,,,HOR9,255
,,,,HOR10,337
,,,,HOR11,445
,,,,HOR12,518
01/03/2025,2025-03-01T01:00:00,ES18,Oeste,HOR1,648
,,,,HOR2,679
,,,,HOR3,500
,,,,HOR4,376
,,,,HOR5,483
,,,,HOR6,505
,,,,HOR7,509
,,,,HOR8,639
,,,,HOR9,588
,,,,HOR10,477
,,,,HOR11,465
,,,,HOR12,481
01/03/2025,2025-03-01T01:00:00,ES19,Norte,HOR1,482
,,,,HOR2,439
,,,,HOR3,327
,,,,HOR4,325
,,,,HOR5,327
,,,,HOR6,271
,,,,HOR7,270
,,,,HOR8,323
,,,,HOR9,495
,,,,HOR10,640
,,,,HOR11,709
,,,,HOR12,836
01/03/2025,2025-03-01T01:00:00,ES19,Sur,HOR1,873
