anyo,trimestre,barrio,barrio_URI,num_viviendas,metros_2,dormitorios,banyos,renta_min,renta_media,renta_max,euros_m2,desv_tipica
2014,1,international peace,Q114246474,24,91,2.7,1.9,450,590,675,6.6,61
2014,1,Plaza Juan Pablo II,Q136523625,8,97,2.4,1.6,425,518,650,5.5,84
2014,1,Pla del Bon Repòs,Q9060237,42,78,2.5,1.2,250,368,600,4.9,70
2014,1,San Juan Playa,Q9060728,197,104,2.4,1.7,300,606,1200,7,205
2014,1,Polígono Babel,Q18005830,39,100,3.1,1.9,390,539,800,5.5,86
2014,1,Polígono San Blas,Q9061569,22,92,2.9,1.6,350,459,650,5.4,79
2014,1,San Fernando-Princesa Mercedes,Q6118706,11,80,2.6,1.3,300,370,450,4.7,58
2014,1,Raval Roig,Q9066754,4,57,1,1,350,425,475,7.5,53
2014,1,San Agustín (Alicante),Q9073289,4,93,2,1.3,320,438,500,4.7,70
2014,1,San Antón,Q2917775,10,65,2.3,1.2,300,366,590,6.3,80
2014,1,San Blas-Santo Domingo,Q4897331,62,85,2.7,1.5,295,420,600,5.1,61
2014,1,San Gabriel National Forest,Q7414207,30,94,2.7,1.7,300,484,700,5.4,103
2014,1,Santa Faz,Q10879280,2,93,2.5,2,400,425,450,4.6,25
2014,1,Sidi Ifni-Nuevo Alicante,Q6127455,16,82,2.6,1,240,323,370,4.1,32
2014,1,Tómbola,Q6154605,5,105,3.2,2,450,480,500,4.6,24
2014,1,Vistahermosa,Q6163998,13,125,2.9,2.1,400,669,900,5.5,156
2014,1,Villafranqueza,Q9094009,3,84,2.3,1.3,270,357,450,4.5,74
2014,1,Virgen del Remedio,Q6163619,4,90,3.3,1.3,250,298,360,3.3,49
2014,2,Alipark,Q8195638,10,94,3.2,1.5,300,406,500,4.4,56
2014,2,Altozano-Conde Lumiares,Q5855261,55,94,3.1,1.5,250,389,525,4.2,68
2014,2,Benalua,Q8246192,62,87,2.7,1.5,280,437,700,5.3,86
2014,2,Benissa,Q1649406,2,115,3,2,450,480,510,4.2,30
2014,2,Cabo de las Huertas,Q8254541,54,124,2.8,1.7,400,703,1300,6.4,240
2014,2,Campoamor,Q8261229,6,67,1.5,1.2,300,435,550,6.8,83
2014,2,Carolinas Altas,Q5199022,40,82,2.6,1.4,250,380,550,4.9,66
2014,2,Carolinas Bajas,Q8339426,64,80,2.4,1.3,250,372,500,5,61
2014,2,Old town-Santa Cruz,Q8341907,39,76,2,1.2,330,589,1200,8.3,255
2014,2,Old town-Santa Cruz,Q8341907,56,94,2.5,1.5,283,548,900,6.1,124
2014,2,Asis,Q5770765,12,88,2.6,1.5,300,370,435,4.5,41
2014,2,Colonia Requena,Q5777835,6,79,3,1.5,225,251,280,3.5,22
2014,2,Divina Pastora,Q8561236,3,238,3.7,2.7,550,647,700,3,68
