id,location_name_rdf,location_url,parameter,parameter_url,value,unit,datetimeUtc,timezone,latitude,longitude
4318_2025-10-07T11:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-07T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T12:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-07T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T13:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-07T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T14:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-07T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T15:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-07T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T16:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-07T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T17:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-07T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T18:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-07T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T19:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-07T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T20:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-07T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T21:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,500,µg/m³,2025-10-07T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
